order_id,store_id,customer_id,order_date,total_amount
1,203,312,2024-06-06 02:39:41,214.89
2,151,235,2024-09-30 02:39:15,37.98
3,335,36,2024-12-17 20:39:14,57.94
4,242,813,2024-03-16 06:58:30,81.92
5,205,101,2024-05-27 11:08:04,140.88
6,35,965,2024-04-24 22:21:00,202.35
7,346,669,2024-04-05 13:59:00,142.43
8,99,40,2024-11-28 19:07:25,15.98
9,83,468,2024-10-12 15:16:29,23.98
10,26,754,2024-12-26 01:33:31,235.83999999999997
11,359,744,2024-07-02 08:29:43,209.85999999999999
12,278,153,2024-06-10 04:13:40,156.89999999999998
13,53,61,2024-05-26 11:38:39,66.92
14,48,257,2024-02-08 02:08:37,92.93
15,313,476,2024-09-19 17:22:28,195.35999999999999
16,115,183,2024-02-16 23:57:00,166.88
17,36,276,2024-02-10 11:23:57,244.89
18,226,895,2024-07-27 23:56:10,5.49
19,308,695,2024-02-27 20:57:31,38.97
20,228,694,2024-10-10 22:47:42,118.87999999999998
21,237,601,2024-08-04 15:26:56,74.96
22,5,855,2024-01-05 14:32:44,121.9
23,202,76,2024-06-22 00:49:38,146.85999999999999
24,281,816,2024-02-06 08:35:21,128.41
25,173,485,2024-06-08 04:17:21,42.959999999999994
26,338,107,2024-09-22 09:36:52,149.88
27,238,259,2024-03-11 13:33:52,75.93
28,187,491,2024-03-19 06:12:44,157.89999999999998
29,27,840,2024-03-11 23:53:23,35.98
30,268,180,2024-06-04 07:38:00,140.92000000000002
31,307,259,2024-08-18 14:19:47,113.39999999999999
32,28,729,2024-05-04 15:54:24,32.98
33,75,678,2024-11-17 02:02:18,65.44999999999999
34,90,527,2024-09-15 16:47:28,157.41
35,383,280,2024-12-03 03:54:14,206.85
36,195,438,2024-08-03 01:36:49,49.43
37,307,754,2024-04-14 19:12:26,67.94
38,183,223,2024-06-14 14:15:08,134.9
39,165,677,2024-05-05 01:08:05,126.39999999999999
40,250,37,2024-07-27 09:01:38,62.97
41,335,698,2024-01-01 03:10:11,5.99
42,268,833,2024-12-18 05:43:35,68.97
43,378,38,2024-07-12 08:51:31,115.9
44,253,518,2024-06-24 02:05:21,218.82
45,61,854,2024-05-06 11:45:16,85.44999999999999
46,76,114,2024-03-21 09:20:08,94.92
47,78,667,2024-06-19 11:27:44,21.97
48,322,459,2024-03-14 02:59:22,150.41
49,381,515,2024-12-17 00:50:33,111.39999999999999
50,243,400,2024-02-29 06:30:27,63.96
51,51,174,2024-04-03 22:06:52,52.47
52,161,569,2024-05-29 11:18:57,116.40999999999998
53,130,994,2024-03-27 22:46:57,128.41
54,163,914,2024-09-12 23:31:28,86.91
55,192,714,2024-05-10 05:01:32,43.44
56,224,104,2024-02-17 17:27:59,54.93
57,1,940,2024-03-19 21:23:12,13.99
58,339,344,2024-04-27 05:00:30,199.84
59,47,124,2024-03-27 22:38:10,42.98
60,320,595,2024-03-04 08:42:21,51.92999999999999
61,391,870,2024-02-04 23:14:08,53.97
62,103,108,2024-02-02 11:50:58,17.99
63,190,141,2024-08-02 07:43:27,254.35999999999999
64,317,442,2024-02-26 01:40:07,57.42999999999999
65,137,687,2024-08-25 01:57:47,206.85
66,258,874,2024-01-22 17:50:59,189.87
67,151,157,2024-05-13 07:20:50,108.93
68,303,920,2024-04-08 14:54:39,94.93999999999998
69,271,877,2024-09-07 21:30:21,147.9
70,169,333,2024-06-07 19:25:01,127.91
71,281,847,2024-04-25 03:31:45,146.38
72,299,920,2024-10-20 12:11:02,17.97
73,356,72,2024-04-20 01:00:21,42.97
74,372,748,2024-04-27 22:01:04,56.93000000000001
75,9,379,2024-05-24 06:51:40,194.38
76,37,787,2024-03-23 13:07:21,96.89
77,38,614,2024-02-09 16:50:26,80.91999999999999
78,324,306,2024-10-17 11:34:48,76.93
79,310,13,2024-01-06 07:13:18,214.85999999999999
80,130,647,2024-03-27 19:42:28,175.36999999999998
81,337,189,2024-02-23 13:53:32,115.38999999999999
82,47,411,2024-12-07 21:18:55,62.94
83,245,942,2024-09-09 21:07:55,27.97
84,150,840,2024-08-24 20:38:46,18.97
85,159,690,2024-06-29 21:04:39,144.91
86,344,617,2024-07-11 20:22:31,58.95
87,253,371,2024-12-14 05:21:02,25.98
88,316,216,2024-08-04 04:31:59,53.46
89,146,92,2024-05-02 06:44:25,92.41
90,182,677,2024-01-08 20:11:22,185.39
91,238,484,2024-10-23 09:37:46,141.85
92,399,781,2024-08-03 04:21:20,149.42000000000002
93,74,874,2024-12-11 02:48:17,67.92999999999999
94,208,655,2024-11-23 22:19:30,137.38000000000002
95,264,250,2024-10-17 06:26:13,220.85999999999999
96,110,388,2024-01-28 08:12:41,89.94
97,40,194,2024-06-16 11:25:42,9.98
98,244,743,2024-12-02 17:02:21,42.959999999999994
99,148,861,2024-04-12 12:35:05,211.39
100,182,994,2024-03-09 08:45:41,188.88
101,196,150,2024-04-14 02:39:33,113.38
102,324,236,2024-12-26 04:33:42,79.44
103,73,991,2024-04-29 15:15:51,103.36999999999999
104,393,876,2024-09-11 22:48:42,193.87999999999997
105,115,398,2024-02-12 08:21:39,120.93
106,155,167,2024-08-05 19:52:33,67.95
107,32,41,2024-06-15 09:54:52,10.98
108,259,917,2024-02-19 13:18:37,139.92999999999998
109,113,370,2024-10-07 04:59:27,22.96
110,366,442,2024-08-06 07:32:25,15.97
111,91,685,2024-07-24 04:34:53,230.83999999999997
112,183,840,2024-03-13 09:08:22,14.97
113,217,38,2024-10-11 13:36:47,161.86999999999998
114,344,961,2024-09-14 10:22:26,42.98
115,280,440,2024-09-09 19:55:21,196.35
116,96,371,2024-08-15 13:45:22,99.92999999999999
117,52,155,2024-04-20 18:24:52,102.89999999999999
118,378,48,2024-12-28 03:04:15,75.95
119,307,580,2024-09-09 10:11:11,28.979999999999997
120,122,159,2024-06-28 19:26:10,129.9
121,201,381,2024-06-21 15:39:31,93.38000000000001
122,388,864,2024-04-22 14:07:50,78.92999999999999
123,319,72,2024-01-05 10:42:54,105.39999999999999
124,98,548,2024-02-17 06:56:08,119.9
125,84,878,2024-08-11 15:01:21,75.44999999999999
126,42,152,2024-07-31 14:00:21,56.97
127,169,664,2024-02-18 08:22:41,38.97
128,162,474,2024-12-21 07:08:44,83.42999999999999
129,206,257,2024-05-11 15:40:47,203.86999999999998
130,89,127,2024-07-20 12:27:47,16.97
131,316,264,2024-10-02 20:08:22,32.47
132,173,898,2024-01-07 01:20:32,195.87
133,250,179,2024-10-06 04:09:13,127.89
134,392,440,2024-04-21 03:29:15,171.89999999999998
135,122,350,2024-11-25 22:41:37,118.94
136,285,666,2024-10-02 20:16:09,37.43
137,117,315,2024-04-12 19:43:16,34.97
138,10,24,2024-12-18 09:33:40,33.98
139,221,796,2024-01-12 08:08:25,167.89999999999998
140,368,804,2024-06-16 12:12:41,99.41000000000001
141,234,138,2024-07-16 18:43:45,189.37999999999997
142,145,54,2024-09-13 23:52:49,99.93
143,206,371,2024-01-23 10:56:53,100.91999999999999
144,94,392,2024-01-07 07:15:16,15.98
145,307,336,2024-11-05 12:52:39,56.959999999999994
146,277,679,2024-03-15 03:46:08,34.95
147,344,809,2024-01-07 10:55:18,215.86999999999998
148,367,30,2024-09-07 01:09:16,23.46
149,229,460,2024-02-15 07:24:29,160.41
150,335,804,2024-12-22 15:48:10,107.89999999999999
151,91,965,2024-06-16 04:32:54,75.92999999999999
152,75,252,2024-11-12 09:16:13,136.39
153,161,842,2024-09-26 20:12:52,25.96
154,133,727,2024-05-23 16:05:22,81.9
155,105,519,2024-10-12 20:30:46,197.85999999999996
156,133,32,2024-06-03 08:33:23,26.46
157,209,653,2024-05-16 10:42:18,80.41999999999999
158,259,593,2024-11-26 12:29:46,68.44
159,43,485,2024-09-30 08:26:59,131.38
160,217,605,2024-09-02 23:47:39,5.99
161,378,913,2024-02-11 02:56:23,172.86999999999998
162,47,594,2024-04-03 16:33:34,168.85
163,331,906,2024-12-21 21:21:46,145.88
164,49,317,2024-07-11 21:06:00,68.97
165,384,818,2024-02-07 20:18:57,126.89999999999999
166,159,955,2024-06-18 10:46:16,106.4
167,364,944,2024-10-28 01:33:51,20.97
168,28,806,2024-03-11 01:30:17,111.86
169,208,34,2024-01-13 18:53:02,173.38
170,3,141,2024-06-05 03:06:34,247.81
171,105,990,2024-08-22 09:41:19,15.98
172,72,372,2024-06-09 00:01:29,18.99
173,208,508,2024-06-13 03:44:23,183.87
174,42,264,2024-02-14 11:56:56,161.89999999999998
175,213,714,2024-06-28 06:41:38,195.85999999999999
176,307,659,2024-02-17 21:46:21,101.91
177,281,302,2024-02-04 04:51:06,110.40999999999998
178,273,625,2024-07-19 03:00:23,148.89
179,298,388,2024-04-15 06:24:26,36.44
180,30,560,2024-12-04 18:00:40,228.85
181,148,941,2024-11-10 18:45:20,190.85
182,205,598,2024-10-17 19:00:15,79.42
183,305,414,2024-07-04 04:10:19,224.85999999999999
184,362,854,2024-04-11 19:23:38,47.98
185,4,455,2024-11-27 14:38:15,89.94999999999999
186,296,417,2024-04-21 11:00:40,104.39999999999999
187,393,929,2024-02-09 08:30:43,43.940000000000005
188,354,449,2024-06-13 09:02:21,58.93
189,68,60,2024-10-16 07:42:48,57.97
